"","x","y","c","json_data"
"V1",2.41868387179251,1.8618324048177,1,"18689"
"V2",0.300777275772549,2.59332024678493,1,"15367"
"V3",3.63323066687007,1.81075458149795,1,"10345"
"V4",0.286731570539816,2.61891154901854,1,"13300"
"V5",3.40851880025815,1.98809644798169,1,"11778"
"V6",3.6304532847187,1.83288879755407,1,"11251"
"V7",0.303854377442247,2.60544335957361,1,"11876"
"V8",3.63018035504121,1.82685001233075,1,"14859"
"V9",3.40769752512407,1.99461517612097,1,"17516"
"V10",0.20006156016198,2.57659098453032,1,"16065"
"V11",3.631650777945,1.82299293008297,1,"17054"
"V12",0.285208497598265,2.61250299246823,1,"18367"
"V13",2.40924292568993,1.8732108122001,1,"18059"
"V14",-0.741929860340662,2.54562751831457,1,"11396"
"V15",0.298013421509585,2.59396121288037,1,"15408"
"V16",3.63081115859193,1.82283347756995,1,"15152"
"V17",2.41355389168073,1.85773344028531,1,"18347"
"V18",0.280640569952263,2.60797808197012,1,"10196"
"V19",3.63260705529835,1.82116256736336,1,"14825"
"V20",0.302599919955132,2.58473795408793,1,"10164"
"V21",-0.650437504220881,2.52003432532682,1,"12573"
"V22",2.41231674963931,1.88395778782302,1,"13982"
"V23",4.53289081887096,0.410912120781209,2,"19627"
"V24",5.25971642587277,-0.152159530225094,1,"11532"
"V25",5.2659319111981,-0.142243915380192,1,"15801"
"V26",5.26819874888064,-0.158708878339407,2,"12602"
"V27",4.5347033480204,0.394818910261074,2,"19027"
"V28",4.53581698291861,0.398844467421338,2,"16290"
"V29",5.26481539613186,-0.161060052445187,2,"14819"
"V30",4.53634520875536,0.417666464889352,2,"12856"
"V31",5.26381788681837,-0.163021726450784,2,"14678"
"V32",4.53576765699309,0.398897879470761,2,"16111"
"V33",2.80183992387446,1.44921928714528,1,"15670"
"V34",4.53589026777152,0.413280727508006,2,"11165"
"V35",3.41753647435649,1.96820567753822,1,"13322"
"V36",3.84543923401154,0.497614323088895,2,"11462"
"V37",5.87130719487008,0.326628668513694,1,"10638"
"V38",-1.07844431602137,4.90242601092383,3,"15062"
"V39",5.9693306378834,0.268671511468151,1,"11619"
"V40",-3.81522254052331,4.5473507026598,3,"17401"
"V41",5.87022823319196,0.334237591440099,1,"15800"
"V42",2.9508206564547,1.1267060564603,1,"13460"
"V43",4.69657209307443,1.2529261395844,2,"16817"
"V44",0.882060170780814,1.5001534083538,1,"11476"
"V45",-0.339412709132639,2.05618608156831,1,"11026"
"V46",2.7991652471274,1.05880864434106,2,"19299"
"V47",-2.55019414128592,2.38696433901328,1,"11991"
"V48",3.55630633705076,1.90938576470826,1,"16045"
"V49",-4.97668590641515,3.85017022041833,4,"10777"
"V50",-8.8419072535577,-5.52946510352702,5,"12625"
"V51",-3.44323161666043,4.79034958921964,3,"12735"
"V52",6.32755947665378,-1.22740550766021,2,"12810"
"V53",-5.36283504819401,3.10331000128022,4,"13024"
"V54",-7.34588460755751,-0.546198458037093,5,"16576"
"V55",-5.34871057474717,2.54399762789796,6,"16842"
"V56",1.54467345846351,-0.277582541245997,1,"18392"
"V57",-7.06468388399672,-6.22803893709808,4,"18902"
"V58",-7.154942544451,-0.892380097833293,5,"19063"
"V59",-3.43366118851442,-1.35273503751789,7,"19996"
"V60",-0.0143925879339326,-0.595720392845451,4,"10931"
"V61",-1.18930300238568,0.549971355617855,3,"11883"
"V62",-4.42719136812917,1.06547157616327,7,"12577"
"V63",-2.07780627759665,4.67094557667669,3,"12889"
"V64",-1.98093512023166,-0.198864681805948,3,"13358"
"V65",-2.35866560842865,4.69253493545444,3,"13799"
"V66",-7.895941735537,1.95816687026383,4,"14528"
"V67",-6.92151469015674,-3.07457173058546,7,"15642"
"V68",-1.2354511558473,4.71838691350971,3,"17347"
"V69",-9.13458576532755,-5.11850031492541,5,"18823"
"V70",-4.16659944268234,3.91385107029839,4,"19019"
"V71",1.40554105810008,4.61271675072225,3,"19513"
"V72",4.7968344709217,-1.50177972097595,1,"19992"
"V73",-2.20112015078816,4.24819238121178,3,"10402"
"V74",-1.17582366831745,5.04996424167143,3,"12016"
"V75",-6.59570186370239,2.09009431352271,6,"13252"
"V76",-1.35066891029599,5.09468767717137,3,"15817"
"V77",-4.14483248282539,3.96273456008262,4,"16424"
"V78",-0.479362099714982,-0.702221547955258,1,"16466"
"V79",-5.98631465773192,-0.184764620280593,5,"17556"
"V80",-4.12873022980176,3.33101998620565,6,"10053"
"V81",-4.27378443095267,4.3709037638756,4,"10137"
"V82",-3.53261428757972,-0.233791027144424,4,"10172"
"V83",-6.38257304471501,-2.96922374818973,4,"10495"
"V84",-6.05417313553474,0.53086896803449,5,"13021"
"V85",-6.67561748663274,-2.57579378921471,8,"13213"
"V86",-8.61961544295861,-4.28872422026604,4,"14165"
"V87",1.39601626880797,1.01424918927702,2,"15637"
"V88",-10.4366882987924,-3.20086210483907,8,"16737"
"V89",-0.777375070715655,3.06415477546549,7,"17030"
"V90",0.966164536194897,-0.945975463339861,1,"19422"
"V91",6.27496394360115,-1.31372893550177,2,"11046"
"V92",6.38407458459121,-1.15884047108479,2,"13238"
"V93",-6.65110735438664,2.24500191959796,4,"13248"
"V94",-7.91418624529966,-3.62805959037085,6,"13662"
"V95",-3.63341169543222,1.51898544681985,7,"14336"
"V96",-6.4311875097042,3.38688955228504,4,"14517"
"V97",-1.84628108931321,1.88126594640261,7,"14968"
"V98",-2.49729857507264,4.89511068816926,3,"17850"
"V99",-10.9025822509932,-3.5442718136243,8,"18268"
"V100",1.90697555119979,-0.678129480756027,2,"19334"
"V101",4.89844498318741,-1.13316361052841,1,"10685"
"V102",-9.01044348039058,-1.87041477974364,5,"11100"
"V103",-6.84167388921257,-0.957196470968445,4,"13562"
"V104",-1.38418820456063,4.82068975423223,3,"14180"
"V105",-0.293688604276845,0.065213821460436,1,"14391"
"V106",-9.62339519982288,-4.15033078121517,4,"15379"
"V107",-3.95424857862532,4.61113150075545,3,"16975"
"V108",-9.93084855414257,-5.64221402332299,8,"18145"
"V109",-8.54967620799912,-5.50573184767524,8,"19255"
"V110",-9.7071647629941,-2.83766849277222,8,"19761"
"V111",3.4920048258052,-1.29990259012936,2,"11992"
"V112",-6.84539118720526,-3.03192226900831,8,"15595"
"V113",5.20971487003421,-0.560782497867381,2,"16157"
"V114",-2.19528581606972,4.53781735662984,3,"18352"
"V115",-2.06694843043854,5.39387256874385,3,"12177"
"V116",-7.96862789450643,-0.540138097715849,4,"14047"
"V117",-5.20998534322973,3.67695505927185,4,"14104"
"V118",4.70542398246781,-1.01310919927681,2,"15010"
"V119",2.26128419636901,3.97791238667335,3,"15690"
"V120",3.42140354418646,-1.46894068444145,2,"16536"
"V121",3.89375116211558,-0.918754693985275,1,"18433"
"V122",-1.11550348304428,-0.178387540014728,1,"19269"
"V123",1.89793166259641,0.287329990578022,2,"13721"
"V124",4.72313028995009,-0.686606536592161,1,"14787"
"V125",-0.238539248340269,1.25907497665691,4,"16327"
"V126",-6.57095665204527,-5.14458907649666,5,"17635"
"V127",-8.80627505376434,-5.66049368868589,5,"17636"
"V128",-10.9772624703429,-3.46488755380682,8,"18274"
"V129",-6.36026170582364,2.21116298269459,4,"18387"
"V130",-6.20868565925964,0.0138469472401548,5,"19754"
"V131",-1.65990995014963,0.0544495592472684,7,"13041"
"V132",-5.0813480227814,4.32684498224814,4,"14348"
"V133",-2.25882388466076,4.65825547100346,7,"15196"
"V134",-2.44750671250782,4.72920530122264,3,"15228"
"V135",-6.57017724786356,1.67874897014107,4,"15991"
"V136",-5.6343212827173,3.18222882565072,4,"16326"
"V137",-7.33632048444822,-3.41636445454782,5,"16907"
"V138",1.80018482421362,-0.512834151562644,1,"18366"
"V139",3.92046724683487,-0.410849882848226,2,"18372"
"V140",-3.09549433648594,-0.748583053426458,1,"18506"
"V141",-1.18303918215862,0.873891979394231,2,"19026"
"V142",4.56537926488554,-1.18546666771484,1,"12339"
"V143",0.97909656400607,4.45834165789146,3,"13843"
"V144",1.8081223057607,-0.0503440972488166,1,"13878"
"V145",-8.93117543981885,-5.11349375839397,8,"14236"
"V146",-1.56545433266863,2.22096395910872,3,"14973"
"V147",4.96494152271351,-0.714548548184671,1,"15946"
"V148",-5.30314767004577,-0.198755865909007,4,"18158"
"V149",-2.19889869788707,4.18513297262005,3,"10404"
"V150",-1.158306725163,5.09103851425012,3,"16733"
"V151",-6.85947108619382,0.183014205362133,4,"17618"
"V152",-11.6072983577165,-3.25170165933561,8,"18130"
"V153",-6.75794144027106,1.142725958752,5,"18473"
"V154",-2.38642466021661,4.84367399805974,3,"19031"
"V155",-6.85339379862972,-2.98301448786353,5,"10891"
"V156",-10.355828449324,-6.12423661629671,8,"12982"
"V157",2.73259923707292,-1.36879282459465,1,"14592"
"V158",-8.23670777850612,1.52147386127343,4,"14651"
"V159",-1.94292773097736,5.09267683012895,3,"15893"
"V160",-7.54783987977762,-3.69416818417572,5,"15974"
"V161",-3.50099169546734,3.6044284191508,3,"16524"
"V162",-7.18121098173608,-0.423799713168624,4,"17081"
"V163",5.59294697815827,-0.333500068193494,2,"11642"
"V164",2.64888056479381,-1.19340965491899,1,"11752"
"V165",-6.63178601171791,-0.402831724034385,4,"13215"
"V166",-5.39276582033332,2.7046815343336,6,"14001"
"V167",-5.07415950110111,3.46683340966614,4,"16894"
"V168",-6.74835210254519,-3.19787174900595,7,"18047"
"V169",-7.87500980901775,2.52522565956151,4,"19402"
"V170",-5.43880305950477,3.22076785563277,4,"19966"
"V171",-5.38464477920819,3.3311830261818,7,"10473"
"V172",-9.77356617595026,-3.19707897267002,4,"10659"
"V173",2.45415512136152,1.00505911177285,2,"11317"
"V174",-5.63314620247062,3.44986271624517,4,"11378"
"V175",-1.12907875073702,5.43492284741723,3,"12977"
"V176",-12.5813064517836,-8.22007069021783,8,"13085"
"V177",-5.37246477293594,3.25020875878339,4,"14576"
"V178",-9.19763374464861,-5.08960222314988,5,"17432"
"V179",-10.0013359373035,-6.76972757717645,6,"18714"
"V180",-2.49906461298764,-0.256638100597496,3,"19024"
"V181",-7.86800161187562,-3.22034022008898,5,"10976"
"V182",-3.10348171104722,3.37748920404925,4,"12534"
"V183",-7.04768740338412,-0.870376418129348,5,"13553"
"V184",-4.96403089614736,-1.89813448717195,5,"14146"
"V185",-10.0298450798891,-6.83196801535852,8,"17505"
"V186",-1.87609312484875,4.76981424149193,3,"19491"
"V187",-7.75331740729427,2.37374652264511,4,"11397"
"V188",4.12703772375285,-1.84380966359018,2,"11819"
"V189",-4.27150414886764,3.37800949662377,4,"12099"
"V190",5.17862953389087,-0.591963040915466,2,"12192"
"V191",-4.65367405205568,-1.6994014788118,3,"12680"
"V192",-9.74989675047267,-5.44132564627172,5,"13247"
"V193",-6.00976690228634,2.35941484572117,4,"13436"
"V194",-1.94919868600725,4.86071287131846,3,"13876"
"V195",-9.46247741736619,-4.57013439733855,8,"14408"
"V196",0.648479531073466,-0.904195308274893,2,"15161"
"V197",1.60506318792722,-0.250291304426162,1,"15703"
"V198",-10.0548059446616,-5.79710073700222,8,"15989"
"V199",-5.82654034358074,-0.451853245068719,4,"18445"
"V200",-0.2853811062317,0.0855377308393696,1,"18793"
"V201",-9.33261760740814,1.03835695141867,4,"19722"
"V202",-5.12922597560529,3.419563660739,4,"19941"
"V203",-5.18037605857587,3.55872160334267,4,"10435"
"V204",-6.13319073289222,2.62636371812009,4,"11359"
"V205",-2.527970841505,4.91644842683562,3,"12436"
"V206",-6.04208978842519,2.60192961491309,4,"13334"
"V207",4.95174680387531,-0.591904505424196,1,"15169"
"V208",5.99841877163024,-0.660454234307899,2,"16815"
"V209",-7.94070244497617,-0.943846790405488,5,"17235"
"V210",1.46032531966761,-0.466530210136291,1,"17319"
"V211",-5.26195525432258,3.30847994132366,6,"17852"
"V212",-8.86532915399025,-4.76937730546937,8,"19365"
"V213",4.1807017618024,-0.696706019539639,1,"19988"
"V214",-7.70262038842205,1.61996388302102,4,"10293"
"V215",0.152116195698093,0.776258666869144,7,"10518"
"V216",4.81793776224272,-0.255002378745498,2,"10545"
"V217",3.62478030758304,-0.0716198224194594,2,"14048"
"V218",-6.40004839213444,-0.0434579622926753,5,"15416"
"V219",5.94802606452328,-0.725408534747063,2,"17214"
"V220",-3.12473846740347,4.01793247253056,7,"19652"
"V221",-7.37873567745873,2.30618501728588,5,"10282"
"V222",-2.14961340026529,-0.34069894587515,3,"10511"
"V223",5.87005573075531,0.282981284021972,2,"10762"
"V224",-10.882699431591,-5.32904528712369,5,"11589"
"V225",2.86675557779144,-1.16631659900346,2,"11723"
"V226",-6.52379043458685,-0.025742212847297,4,"12473"
"V227",-2.20568988686804,1.72431329594658,7,"12857"
"V228",-5.40181532254909,3.70292578457836,3,"14143"
"V229",-8.35660928327153,-3.31408614017874,4,"18695"
"V230",4.21971470857522,-2.1375036194966,1,"18868"
"V231",-9.27322659608056,-1.93190359231779,4,"12493"
"V232",-6.50233758173724,3.54508705807256,4,"12950"
"V233",-3.56949342213218,1.4054328542218,7,"13005"
"V234",-1.88522121750326,-0.748239106960977,3,"14917"
"V235",-5.49685505536764,-2.62188026204435,5,"15708"
"V236",3.97057967961541,-0.392892163664558,2,"17890"
"V237",0.819364937060008,-0.185197306127451,2,"11255"
"V238",-11.3445026545152,-6.79260866441937,6,"11504"
"V239",-1.95939427975457,0.117388688321349,4,"11525"
"V240",-4.21351368644947,3.87227104184871,4,"14002"
"V241",-8.63489063405538,0.896776138906815,4,"18087"
"V242",-8.36023687189148,-4.20853671348113,4,"10983"
"V243",-1.90784277905324,5.09143736032421,3,"10996"
"V244",-6.4246373595867,2.30737340152103,6,"11686"
"V245",-7.3584373905582,2.58447797816417,6,"12998"
"V246",-3.52882720996983,3.54017515465326,3,"14987"
"V247",-6.58787718150043,1.92502126632764,4,"17548"
"V248",-5.31213011512847,2.9469773290978,4,"17637"
"V249",-5.14088232610378,-1.43227136565393,4,"18553"
"V250",-4.65184485694318,0.44321644732686,5,"12024"
"V251",-5.63669022031731,3.49769353134034,4,"12840"
"V252",-6.29300802778321,3.17447566597778,4,"12866"
"V253",-5.13551370588345,3.84310295350666,4,"14593"
"V254",-6.47578407717662,0.232658954775912,5,"15348"
"V255",-8.62746391057095,0.74434186371654,4,"16155"
"V256",-3.28801084228851,-0.242318662565347,7,"16902"
"V257",-6.30486871490701,0.962664070420402,5,"18000"
"V258",-8.15843986411493,2.20027974131512,4,"18707"
"V259",-8.61061916411576,-1.82678533683861,4,"19223"
"V260",-2.80528701447501,0.364959119078264,7,"11605"
"V261",-10.9414147691859,-8.46551279563418,8,"11872"
"V262",-9.33307108711089,-5.81190118279615,6,"13219"
"V263",-9.28222828186586,-5.37637893258585,8,"13484"
"V264",2.11052449789822,0.0952000320622629,1,"15223"
"V265",-3.83629346136455,-1.10379628768663,7,"15600"
"V266",-6.1518585699477,3.04552222009483,4,"16747"
"V267",-1.23084811809646,5.14429378069008,4,"17740"
"V268",-8.32457483159329,-4.83195078427046,8,"10077"
"V269",1.5131206905118,3.00330117324555,3,"10194"
"V270",-2.32503669732074,4.65471417711223,3,"14779"
"V271",0.719372199847033,-0.795100551071499,1,"14833"
"V272",-3.6601149857306,1.47329292669992,7,"11388"
"V273",-5.18391669790059,3.78441290527977,4,"12252"
"V274",5.92095853652377,-0.746404170424507,2,"13292"
"V275",1.60160842602321,3.02347613466801,3,"15966"
"V276",0.96014700390355,3.80524090916773,3,"19396"
"V277",-1.5497595466681,4.93030995327877,3,"10726"
"V278",3.07047405322734,-1.56641375558682,1,"12891"
"V279",-12.4398367386361,-9.10014219507083,8,"13606"
"V280",-6.39829999918402,2.4566611178903,4,"15074"
"V281",-5.95280103209459,4.14832854428189,5,"15106"
"V282",-6.44102918368093,3.02480003793684,4,"15309"
"V283",-7.35733712803456,-0.602693739312953,5,"15409"
"V284",3.98676860350656,-0.404030849468381,2,"15786"
"V285",3.94498187717335,-0.490223325997885,2,"16255"
"V286",-10.6712338720859,-7.77597208117147,6,"16571"
"V287",-5.58429047255974,3.43600816562902,4,"18374"
"V288",-4.27133336216113,3.38648119175454,4,"19539"
"V289",-0.0694265900848886,3.3021519121222,7,"19888"
"V290",-14.4673653869164,-5.87732596713761,8,"10804"
"V291",-1.82866240173621,0.16041919571072,3,"14372"
"V292",-4.92024514766197,4.17207604227751,3,"14991"
"V293",-2.40922290181729,4.68596381541992,7,"17880"
"V294",4.5915556400271,-1.27392933695251,1,"18557"
"V295",-4.34679584123114,3.53820602483741,6,"10218"
"V296",-8.71870873452197,-1.91346634876825,4,"10887"
"V297",-4.48837145887281,3.6467902168251,6,"11522"
"V298",-6.71615235327338,-3.29231105181251,5,"11850"
"V299",-6.58910336861359,2.27186012315737,6,"12082"
"V300",4.57989636130374,-1.15768663662415,1,"12132"
"V301",-7.97716511174688,-3.98311274396588,5,"13588"
"V302",-0.970416248912894,0.783346484979155,2,"13642"
"V303",0.44261772812505,-0.400808183584841,1,"14431"
"V304",-10.8958586539135,-7.36384627147702,8,"14533"
"V305",6.88495285135164,-0.458585775890582,2,"15234"
"V306",4.15225440710956,-0.699156155405708,1,"15506"
"V307",-1.93982334536202,-0.00393407053003756,7,"16862"
"V308",-6.17431879201658,2.43269082550511,7,"10146"
"V309",-3.84418317858867,-1.06621866694496,7,"10415"
"V310",-0.661406742725713,3.61758493294376,3,"10911"
"V311",-9.48396205809276,2.41301305822664,4,"11252"
"V312",-2.04592954952387,-0.0333028609293216,3,"11425"
"V313",-9.20246582444656,-5.57822216608789,8,"13092"
"V314",4.14614216657055,-0.7116924726367,1,"13367"
"V315",-8.04699872879865,1.7293134554825,4,"13947"
"V316",-11.0423786990487,-7.21381413375108,8,"14554"
"V317",-7.7942285440448,1.10651184234056,4,"14726"
"V318",-4.27032581372772,3.23959339224552,4,"16233"
"V319",-11.4333132175453,-4.71143733030876,4,"16493"
"V320",-10.5566095828003,-2.90702617428039,8,"16738"
"V321",3.91321827084599,-0.477683483718491,2,"13283"
"V322",-7.88803534512883,1.5791425320521,6,"13435"
"V323",-8.69179547122327,-5.61628464997394,8,"13901"
"V324",3.65932849541101,-0.245863787620305,2,"15429"
"V325",-10.3853332906107,-4.08920121947962,6,"16179"
"V326",-2.04953743972804,1.49948442767598,7,"16226"
"V327",-7.94589085384044,-1.23079293763384,4,"18289"
"V328",-7.69821658527549,1.39590489824073,4,"18468"
"V329",-5.76859903037001,4.33218255848136,5,"18807"
"V330",-9.92585416490921,-7.01487196761328,8,"11901"
"V331",-0.336095522541286,1.66879458584185,7,"11969"
"V332",4.11457816169503,-0.749886117672629,1,"12029"
"V333",-0.082274042786403,-0.534111039964796,7,"12571"
"V334",2.54241198728929,0.927526738924246,1,"13938"
"V335",-10.1535650209754,-1.68476890836951,5,"15096"
"V336",-11.3067384752512,-4.45948951297898,8,"15469"
"V337",-5.98543328647097,2.53882395164744,4,"16608"
"V338",5.94051811124791,-0.719956631852741,2,"18907"
