,MAINEXITDAY3,TOPLD1DAY3,AISLE1DAY3,PSADAY3,EXHIBITIONDAY3,MAINDAY3,POSTERDAY3,PSBDAY3,WC1DAY3,PSCDAY3,ROOM1DAY3,PSDDAY3,ROOM2DAY3,CIDAY3,CIENTRY1DAY3,BOTLD1DAY3,SERVEDAY3,ROOM3DAY3,ROOM4DAY3,WC2DAY3,CIENTRY2DAY3,CIENTRY3DAY3,CIEXIT1DAY3,CIENTRY4DAY3,EXHEXIT1DAY3,EXHEXIT2DAY3,TOPLD2DAY3,CANTEENDAY3,AISLE2DAY3,WC3DAY3,ROOM6DAY3,ROOM5DAY3,ENTERTAINDAY3,BOTLD2DAY3
18689,0,0,14161,0,0,0,0,0,0,0,0,0,0,8,0,75,0,0,0,0,0,0,0,0,0,0,0,0,266,0,3181,0,0,71
10345,0,0,285,0,0,0,0,0,0,0,0,0,0,13798,0,76,0,0,0,0,0,0,0,0,0,0,0,0,230,0,3001,0,0,67
11778,0,10601,287,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,2962,0,286,0,1629,0,0,64
11251,0,0,242,0,0,0,0,0,0,0,0,0,0,14141,0,83,0,0,0,0,0,0,0,0,0,0,0,0,216,0,2825,0,0,71
17516,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,10820,0,0,0,0,0,0,0,0,0,0,0,0,197,0,2857,0,0,2930
18059,0,0,14181,0,0,0,0,0,0,0,0,0,0,7,0,75,0,0,0,60,0,0,0,0,0,0,0,0,214,0,2489,0,0,67
15408,0,0,186,0,0,0,0,0,0,0,0,0,0,2883,0,74,0,0,0,0,0,0,0,0,0,0,0,0,271,0,2422,0,0,65
18347,0,0,13753,0,0,0,0,0,0,0,0,0,0,22,0,79,0,0,0,0,0,0,0,0,0,0,0,0,217,0,2354,0,0,70
13982,0,0,13848,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,210,0,2151,0,0,66
19627,0,0,14265,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,232,0,1957,0,0,65
15801,0,0,245,0,0,0,0,0,0,0,0,0,0,13717,0,82,0,0,0,0,0,0,0,0,0,0,0,0,235,0,1718,0,0,73
19027,0,0,13779,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,225,0,1681,0,0,68
16290,0,0,14244,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,205,0,1729,0,0,69
